SKILL
Hands-on Experimental Lab Work  
Computational Modeling
Non-Linear Optics
LabView
Circuit Design/Fabrication
Matlab
Stochastic Methods
Python
Image Processing
Non-Linear Differential Equations
Numerical Methods
Stress Testing
Mathematical
Numerical Analysis
C++
Java
Unix/Linux
Server Administration
SQL
Regression Testing
Bash   
Version Control 
Awk
Haskell 
Artificial Neural Networks 
Hidden Markov Processes  
Bayesian Probability Networks
Machine Learning
jQuery
Ruby
Javascript 
Web Design
LAMP Servers
Microsft Excel
Deep Learning
Natural Language Processing
Amazon Web Services
R
Core Java
Advance Java
C
Swift
